iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1721,2.30348,0.280105,0.001044,0.000516,0.003153,2.78381,0,5000
1722,2.3111,0.283441,0.001016,0.000511,0.003053,2.79893,0,5000
1723,2.32431,0.295149,0.001039,0.000542,0.003282,2.77643,0,5000
1724,2.34284,0.295496,0.00104,0.000496,0.003259,2.78819,0,5000
1725,2.33009,0.303206,0.001072,0.000558,0.002931,2.77951,0,5000
1726,2.29529,0.272388,0.001049,0.000491,0.003046,2.73496,0,5000
1727,2.28292,0.276312,0.001033,0.000528,0.003097,2.70705,0,5000
1728,2.28226,0.292007,0.001029,0.000535,0.003062,2.76614,0,5000
1729,2.29559,0.301974,0.001022,0.000587,0.002994,2.75157,0,5000
1730,2.3721,0.320236,0.001026,0.000475,0.003225,2.85646,0,5000
1731,2.31384,0.355565,0.00099,0.000539,0.006681,2.82991,0,5000
1732,2.29155,0.349751,0.000973,0.00052,0.003498,2.80152,0,5000
1733,2.31012,0.37103,0.000994,0.000519,0.003352,2.87563,0,5000
1734,2.31866,0.385393,0.001066,0.000533,0.003336,2.87032,0,5000
1735,2.31622,0.294959,0.001035,0.000487,0.003292,2.80612,0,5000
1736,2.30246,0.294634,0.001038,0.00062,0.002993,2.79356,0,5000
1737,2.29334,0.27382,0.001035,0.000547,0.002981,2.76577,0,5000
1738,2.33981,0.273719,0.001043,0.000549,0.003158,2.80999,0,5000
1739,2.31202,0.27538,0.001095,0.000544,0.003165,2.78419,0,5000
1740,2.32011,0.315093,0.001041,0.000521,0.003188,2.80454,0,5000
1741,2.29215,0.279841,0.001047,0.000556,0.00314,2.76198,0,5000
1742,2.31413,0.290418,0.001059,0.000487,0.00311,2.75625,0,5000
1743,2.29349,0.27673,0.00105,0.000487,0.003345,2.76475,0,5000
1744,2.31321,0.312364,0.001064,0.000593,0.003559,2.7756,0,5000
1745,2.31954,0.312763,0.001079,0.000554,0.003515,2.79967,0,5000
1746,2.34829,0.355461,0.001048,0.000548,0.003456,2.87449,0,5000
1747,2.35754,0.344845,0.001063,0.000481,0.00326,2.87608,0,5000
1748,2.35198,0.353027,0.001113,0.000508,0.003359,2.87246,0,5000
1749,2.34412,0.274936,0.001048,0.000522,0.003056,2.82178,0,5000
1750,2.35425,0.288229,0.001035,0.000535,0.003217,2.84714,0,5000
1751,2.3601,0.279353,0.001091,0.000556,0.003164,2.84353,0,5000
1752,2.33252,0.296796,0.001042,0.000492,0.003344,2.82605,0,5000
1753,2.31175,0.272773,0.000993,0.00052,0.003024,2.7841,0,5000
1754,2.34719,0.285013,0.001059,0.000569,0.003275,2.8286,0,5000
1755,2.30201,0.274392,0.001065,0.000504,0.003089,2.77264,0,5000
1756,2.2951,0.274735,0.001053,0.000503,0.00294,2.76619,0,5000
1757,2.30084,0.271271,0.001122,0.000464,0.002966,2.76436,0,5000
1758,2.32585,0.27496,0.001064,0.000516,0.003222,2.79602,0,5000
1759,2.30213,0.281758,0.001055,0.000516,0.003217,2.78049,0,5000
1760,2.32601,0.281919,0.001026,0.000458,0.003087,2.80444,0,5000
1761,2.31778,0.285736,0.001046,0.000525,0.00314,2.80258,0,5000
1762,2.29357,0.280526,0.001043,0.00054,0.003142,2.75992,0,5000
1763,2.28569,0.276678,0.001059,0.000509,0.003125,2.75044,0,5000
1764,2.27852,0.266968,0.001047,0.000538,0.002988,2.69701,0,5000
1765,2.26555,0.269257,0.001018,0.000611,0.003058,2.72679,0,5000
1766,2.33091,0.288486,0.001011,0.000527,0.003063,2.81473,0,5000
1767,2.3459,0.282226,0.001026,0.000483,0.003181,2.81094,0,5000
1768,2.30071,0.283982,0.00104,0.000505,0.002935,2.74305,0,5000
1769,2.29788,0.300119,0.001065,0.000502,0.00307,2.74584,0,5000
1770,2.31244,0.272293,0.00105,0.000521,0.003102,2.7696,0,5000
1771,2.26962,0.279542,0.001079,0.00054,0.003185,2.75072,0,5000
1772,2.30284,0.27648,0.001094,0.000542,0.003336,2.78262,0,5000
1773,2.31676,0.312769,0.001029,0.000503,0.003075,2.78443,0,5000
1774,2.28779,0.30829,0.001033,0.000549,0.003009,2.7554,0,5000
1775,2.28296,0.269685,0.001021,0.000483,0.002938,2.69784,0,5000
1776,2.27569,0.280405,0.001014,0.000458,0.003046,2.7237,0,5000
1777,2.30592,0.283997,0.001065,0.000567,0.003218,2.76358,0,5000
1778,2.3019,0.286688,0.001059,0.000539,0.003151,2.7851,0,5000
1779,2.29805,0.280119,0.001036,0.000472,0.003237,2.75522,0,5000
1780,2.2921,0.270138,0.001058,0.000517,0.003024,2.71366,0,5000
1781,2.28038,0.359541,0.001036,0.000463,0.003054,2.82592,0,5000
1782,2.3011,0.368329,0.00103,0.000604,0.003285,2.84001,0,5000
1783,2.33921,0.288403,0.001032,0.000542,0.003569,2.79296,0,5000
1784,2.35293,0.306714,0.001084,0.000529,0.003136,2.8428,0,5000
1785,2.32738,0.293462,0.001079,0.000511,0.002894,2.77642,0,5000
1786,2.31102,0.306017,0.00106,0.00052,0.003206,2.79525,0,5000
1787,2.30895,0.292303,0.001051,0.000536,0.003116,2.75244,0,5000
1788,2.29668,0.292286,0.001031,0.00049,0.003194,2.77366,0,5000
1789,2.30055,0.288267,0.001086,0.000595,0.003094,2.78897,0,5000
1790,2.30137,0.292577,0.001031,0.000538,0.003193,2.79029,0,5000
1791,2.32767,0.312754,0.001036,0.000505,0.003131,2.83221,0,5000
1792,2.2963,0.294083,0.001062,0.0005,0.003013,2.78219,0,5000
1793,2.32087,0.276229,0.001048,0.000483,0.002937,2.79299,0,5000
1794,2.32245,0.379535,0.001018,0.000562,0.003062,2.86427,0,5000
1795,2.34466,0.356077,0.001067,0.000487,0.003314,2.86653,0,5000
1796,2.30232,0.36829,0.001062,0.000584,0.003316,2.87675,0,5000
